29,30;State-gov;13;Married-civ-spouse;Prof-specialty;*;Male;*;>50K
29,30;State-gov;13;Married-civ-spouse;Prof-specialty;*;Male;*;>50K
49,54;Private;5,9;*;Other-service;Black;Female;*;<=50K
49,54;Private;5,9;*;Other-service;Black;Female;*;<=50K
28,58;State-gov;13,16;Married-civ-spouse;Prof-specialty;White;Male;United-States;>50K
28,58;State-gov;13,16;Married-civ-spouse;Prof-specialty;White;Male;United-States;>50K
28,33;Private;9,13;Never-married;Exec-managerial;Asian-Pac-Islander;Female;*;<=50K
28,33;Private;9,13;Never-married;Exec-managerial;Asian-Pac-Islander;Female;*;<=50K
48;Self-emp-not-inc;12,16;Married-civ-spouse;Prof-specialty;White;Male;United-States;>50K
48;Self-emp-not-inc;12,16;Married-civ-spouse;Prof-specialty;White;Male;United-States;<=50K
31,34;Private;9;Never-married;*;*;Female;United-States;<=50K
31,34;Private;9;Never-married;*;*;Female;United-States;<=50K
35,38;*;14;Married-civ-spouse;Prof-specialty;White;Male;*;>50K
35,38;*;14;Married-civ-spouse;Prof-specialty;White;Male;*;>50K
28,38;Private;10;Divorced;Machine-op-inspct;Black;Female;United-States;<=50K
28,38;Private;10;Divorced;Machine-op-inspct;Black;Female;United-States;<=50K
52,56;Self-emp-not-inc;9;Married-civ-spouse;*;White;Male;*;>50K
52,56;Self-emp-not-inc;9;Married-civ-spouse;*;White;Male;*;>50K
31,46;Private;12,13;leave;*;Black;Female;United-States;<=50K
31,46;Private;12,13;leave;*;Black;Female;United-States;<=50K
53,54;*;4,9;Married-civ-spouse;Machine-op-inspct;White;Male;United-States;>50K
53,54;*;4,9;Married-civ-spouse;Machine-op-inspct;White;Male;United-States;<=50K
28,31;Private;13,14;Married-civ-spouse;Prof-specialty;*;Female;*;<=50K
28,31;Private;13,14;Married-civ-spouse;Prof-specialty;*;Female;*;<=50K
47,49;Self-emp-inc;9,10;*;Exec-managerial;White;Male;United-States;<=50K
47,49;Self-emp-inc;9,10;*;Exec-managerial;White;Male;United-States;>50K
23,34;Private;3,4;Married-civ-spouse;Transport-moving;*;Male;Mexico;<=50K
23,34;Private;3,4;Married-civ-spouse;Transport-moving;*;Male;Mexico;<=50K
42,43;gov;10,16;Never-married;Prof-specialty;White;Female;United-States;>50K
42,43;gov;10,16;Never-married;Prof-specialty;White;Female;United-States;<=50K
40,46;Private;3,4;Married-civ-spouse;Machine-op-inspct;White;Male;Mexico;<=50K
40,46;Private;3,4;Married-civ-spouse;Machine-op-inspct;White;Male;Mexico;>50K
43,44;Self-employ;14;Divorced;Exec-managerial;*;Female;United-States;<=50K
43,44;Self-employ;14;Divorced;Exec-managerial;*;Female;United-States;>50K
19,27;Private;9,10;Never-married;Other-service;White;Male;Mexico;<=50K
19,27;Private;9,10;Never-married;Other-service;White;Male;Mexico;<=50K
41,57;gov;13;Married-civ-spouse;*;Black;Male;United-States;>50K
41,57;gov;13;Married-civ-spouse;*;Black;Male;United-States;<=50K
36,37;Private;10;Divorced;*;White;Female;*;<=50K
36,37;Private;10;Divorced;*;White;Female;*;<=50K
31,35;gov;4,5;Married-civ-spouse;Farming-fishing;*;Male;United-States;<=50K
31,35;gov;4,5;Married-civ-spouse;Farming-fishing;*;Male;United-States;<=50K
44,48;Private;12,14;Divorced;Exec-managerial;White;Female;*;<=50K
44,48;Private;12,14;Divorced;Exec-managerial;White;Female;*;<=50K
22,36;*;10,13;Married-civ-spouse;Other-service;Black;Male;United-States;<=50K
22,36;*;10,13;Married-civ-spouse;Other-service;Black;Male;United-States;>50K
37,47;gov;9,10;Divorced;Adm-clerical;White;Female;*;<=50K
37,47;gov;9,10;Divorced;Adm-clerical;White;Female;*;<=50K
30,32;Private;12,13;Never-married;*;Black;Male;*;<=50K
30,32;Private;12,13;Never-married;*;Black;Male;*;<=50K
56,58;Self-emp-inc;9,10;Married-civ-spouse;Sales;White;*;United-States;>50K
56,58;Self-emp-inc;9,10;Married-civ-spouse;Sales;White;*;United-States;<=50K
19,20;Private;10;Never-married;*;Black;Male;United-States;<=50K
